Time[s],candb::doorStatus1::door1
0.100116,0
1.000168,12
1.900168,12
2.800168,12
3.700168,12
4.600168,12
5.500168,12
6.400168,12
7.300168,12
8.200168,12
9.100168,12
10.000168,12
10.900168,12
